HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Milan,Salernitana,2,0,22,7,2,0,0,0,0
Roma,Inter,0,3,9,10,0,3,0,0,0
Napoli,Atalanta,2,3,15,21,1,1,0,0,0
Torino,Empoli,2,2,10,16,2,1,0,0,0
Lazio,Udinese,4,4,13,12,1,3,0,0,0
Bologna,Roma,1,0,6,13,1,0,0,0,0
Inter,Spezia,2,0,31,7,1,0,0,0,0
Genoa,Milan,0,3,10,18,0,2,0,0,0
Sassuolo,Napoli,2,2,9,9,0,0,0,0,0
Atalanta,Venezia,4,0,19,8,2,0,0,0,0
Fiorentina,Sampdoria,3,1,17,11,3,1,0,0,0
Salernitana,Juventus,0,2,4,18,0,1,0,0,0
Verona,Cagliari,0,0,15,12,0,0,0,0,0
Udinese,Genoa,0,0,17,8,0,0,0,0,0
Milan,Sassuolo,1,3,15,15,1,2,0,0,0
Spezia,Bologna,0,1,13,17,0,0,0,0,0
Roma,Torino,1,0,10,17,1,0,0,0,0
Napoli,Lazio,4,0,18,6,3,0,0,0,0
Empoli,Fiorentina,2,1,17,16,0,0,0,0,0
Sampdoria,Verona,3,1,15,14,0,1,0,0,0
Juventus,Atalanta,0,1,15,7,0,1,0,0,0
Venezia,Inter,0,2,6,27,0,1,0,0,0
Cagliari,Salernitana,1,1,19,8,0,0,0,0,0
Verona,Empoli,2,1,22,9,0,0,0,0,0
Torino,Udinese,2,1,14,18,1,0,0,0,0
Sassuolo,Cagliari,2,2,20,11,1,1,0,0,0
Bologna,Venezia,0,1,22,8,0,0,0,0,0
Salernitana,Sampdoria,0,2,18,13,0,2,0,0,0
Inter,Napoli,3,2,17,9,2,1,0,0,0
Genoa,Roma,0,2,1,19,0,0,0,0,0
Atalanta,Spezia,5,2,18,10,3,1,0,0,0
Lazio,Juventus,0,2,8,11,0,1,0,0,0
Fiorentina,Milan,4,3,9,17,2,0,0,0,0
Venezia,Roma,3,2,13,27,1,2,0,0,0
Sampdoria,Bologna,1,2,10,14,0,0,0,0,0
Udinese,Sassuolo,3,2,13,10,2,2,0,0,0
Lazio,Salernitana,3,0,16,5,2,0,0,0,0
Napoli,Verona,1,1,16,11,1,1,0,0,0
Milan,Inter,1,1,16,13,1,1,0,0,0
Spezia,Torino,1,0,7,9,0,0,0,0,0
Juventus,Fiorentina,1,0,13,6,0,0,0,0,0
Cagliari,Atalanta,1,2,7,21,1,2,0,0,0
Empoli,Genoa,2,2,10,15,0,1,0,0,0
Bologna,Cagliari,2,0,8,9,0,0,0,0,0
Inter,Udinese,2,0,15,9,0,0,0,0,0
Fiorentina,Spezia,3,0,27,3,1,0,0,0,0
Genoa,Venezia,0,0,19,6,0,0,0,0,0
Sassuolo,Empoli,1,2,15,14,1,0,0,0,0
Salernitana,Napoli,0,1,9,18,0,0,0,0,0
Roma,Milan,1,2,24,8,0,1,0,0,0
Atalanta,Lazio,2,2,17,8,1,1,0,0,0
Verona,Juventus,2,1,12,15,2,0,0,0,0
Torino,Sampdoria,3,0,16,5,1,0,0,0,0
Napoli,Bologna,3,0,18,8,2,0,0,0,0
Juventus,Sassuolo,1,2,14,8,0,1,0,0,0
Sampdoria,Atalanta,1,3,8,13,1,2,0,0,0
Udinese,Verona,1,1,16,5,1,0,0,0,0
Cagliari,Roma,1,2,7,22,0,0,0,0,0
Empoli,Inter,0,2,9,21,0,1,0,0,0
Lazio,Fiorentina,1,0,5,9,0,0,0,0,0
Spezia,Genoa,1,1,13,9,0,0,0,0,0
Venezia,Salernitana,1,2,8,21,1,0,0,0,0
Milan,Torino,1,0,10,12,1,0,0,0,0
Atalanta,Udinese,1,1,8,9,0,0,0,0,0
