HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Stuttgart,Ein Frankfurt,2,3,15,15,1,1,0,0,0
Bayern Munich,RB Leipzig,3,2,25,13,2,1,0,0,0
Hertha,Bochum,1,1,13,9,1,0,0,0,0
RB Leipzig,Wolfsburg,2,0,12,9,0,0,0,0,0
Hertha,Bayern Munich,1,4,5,29,0,2,0,0,0
Freiburg,Stuttgart,2,0,16,7,1,0,0,0,0
Greuther Furth,Mainz,2,1,11,16,1,0,0,0,0
Hoffenheim,Dortmund,2,3,14,3,1,1,0,0,0
Leverkusen,Augsburg,5,1,22,14,2,0,0,0,0
M'gladbach,Union Berlin,1,2,12,6,1,1,0,0,0
Bochum,FC Koln,2,2,17,7,1,2,0,0,0
Ein Frankfurt,Bielefeld,0,2,17,8,0,2,0,0,0
Augsburg,Ein Frankfurt,1,1,12,14,1,1,0,0,0
Bielefeld,Greuther Furth,2,2,13,6,1,1,0,0,0
FC Koln,Bayern Munich,0,4,11,19,0,2,0,0,0
Mainz,Bochum,1,0,20,12,0,0,0,0,0
Stuttgart,RB Leipzig,0,2,16,7,0,1,0,0,0
Union Berlin,Hoffenheim,2,1,6,12,1,1,0,0,0
Wolfsburg,Hertha,0,0,7,6,0,0,0,0,0
M'gladbach,Leverkusen,1,2,16,29,0,0,0,0,0
Dortmund,Freiburg,5,1,20,4,3,0,0,0,0
Hertha,FC Koln,1,3,10,14,0,2,0,0,0
Bochum,Wolfsburg,1,0,12,12,0,0,0,0,0
Freiburg,Bielefeld,2,2,18,15,1,0,0,0,0
Greuther Furth,Stuttgart,0,0,10,18,0,0,0,0,0
Hoffenheim,Augsburg,3,1,12,9,2,1,0,0,0
Leverkusen,Union Berlin,2,2,17,17,1,1,0,0,0
RB Leipzig,Mainz,4,1,16,2,1,0,0,0,0
Ein Frankfurt,Dortmund,2,3,12,21,2,0,0,0,0
Bayern Munich,M'gladbach,1,2,19,9,1,2,0,0,0
Freiburg,Leverkusen,2,1,14,6,1,1,0,0,0
FC Koln,Stuttgart,1,0,8,6,0,0,0,0,0
Bochum,Union Berlin,0,1,13,9,0,1,0,0,0
Ein Frankfurt,Mainz,1,0,13,11,1,0,0,0,0
Greuther Furth,Augsburg,0,0,4,14,0,0,0,0,0
Hoffenheim,M'gladbach,1,1,21,11,0,1,0,0,0
RB Leipzig,Bielefeld,0,2,15,4,0,0,0,0,0
Hertha,Dortmund,3,2,14,9,0,1,0,0,0
Bayern Munich,Wolfsburg,4,0,24,7,1,0,0,0,0
M'gladbach,Ein Frankfurt,2,3,19,12,1,1,0,0,0
Augsburg,RB Leipzig,1,1,9,13,0,1,0,0,0
Dortmund,Greuther Furth,3,0,12,7,1,0,0,0,0
Leverkusen,Hoffenheim,2,2,17,14,1,0,0,0,0
Union Berlin,Freiburg,0,0,18,8,0,0,0,0,0
Stuttgart,Bayern Munich,0,5,13,25,0,1,0,0,0
Bielefeld,Bochum,2,0,13,5,0,0,0,0,0
Mainz,Hertha,4,0,21,7,2,0,0,0,0
Wolfsburg,FC Koln,2,3,19,19,1,1,0,0,0
Greuther Furth,Union Berlin,1,0,5,14,0,0,0,0,0
Ein Frankfurt,Leverkusen,5,2,15,11,2,2,0,0,0
Bayern Munich,Mainz,2,1,21,9,0,1,0,0,0
Bochum,Dortmund,1,1,4,23,1,0,0,0,0
Freiburg,Hoffenheim,1,2,14,14,1,1,0,0,0
Hertha,Bielefeld,2,0,18,9,0,0,0,0,0
RB Leipzig,M'gladbach,4,1,19,12,2,0,0,0,0
Wolfsburg,Stuttgart,0,2,19,12,0,1,0,0,0
FC Koln,Augsburg,0,2,14,12,0,0,0,0,0
Stuttgart,Hertha,2,2,10,15,2,1,0,0,0
M'gladbach,Freiburg,0,6,19,15,0,6,0,0,0
Augsburg,Bochum,2,3,16,12,0,3,0,0,0
Bielefeld,FC Koln,1,1,18,9,0,1,0,0,0
Hoffenheim,Ein Frankfurt,3,2,8,17,2,1,0,0,0
